iter	Passed	Remaining
801	1340	331
802	1341	329
803	1342	327
804	1344	325
805	1348	324
806	1350	322
807	1351	321
808	1352	319
809	1353	317
810	1354	315
811	1355	313
812	1356	312
813	1357	310
814	1359	308
815	1360	306
816	1362	305
817	1364	303
818	1365	301
819	1366	299
820	1367	298
821	1368	296
822	1369	294
823	1371	292
824	1372	291
825	1372	289
826	1373	287
827	1374	285
828	1375	283
829	1376	281
830	1377	280
831	1379	278
832	1380	276
833	1381	274
834	1382	273
835	1383	271
836	1383	269
837	1384	267
838	1385	265
839	1387	264
840	1388	262
841	1392	261
842	1393	259
843	1394	257
844	1395	256
845	1396	254
846	1397	252
847	1398	250
848	1400	249
849	1401	247
850	1402	245
851	1403	243
852	1404	242
853	1405	240
854	1408	238
855	1409	237
856	1410	235
857	1412	233
858	1413	232
859	1414	230
860	1415	228
861	1416	226
862	1417	225
863	1418	223
864	1419	221
865	1421	219
866	1425	218
867	1426	216
868	1427	215
869	1428	213
870	1429	211
871	1430	210
872	1432	208
873	1433	206
874	1434	204
875	1435	203
876	1438	201
877	1439	200
878	1440	198
879	1441	196
880	1442	194
881	1443	193
882	1445	191
883	1445	189
884	1446	188
885	1447	186
886	1448	184
887	1449	182
888	1450	181
889	1451	179
890	1455	178
891	1456	176
892	1457	174
893	1458	172
894	1459	171
895	1460	169
896	1461	167
897	1461	166
898	1462	164
899	1463	162
900	1464	160
901	1465	159
902	1466	157
903	1468	155
904	1470	154
905	1471	152
906	1472	150
907	1472	149
908	1473	147
909	1475	145
910	1476	144
911	1477	142
912	1478	140
913	1479	139
914	1480	137
915	1481	135
916	1485	134
917	1488	132
918	1489	131
919	1490	129
920	1491	127
921	1492	126
922	1493	124
923	1494	122
924	1495	121
925	1497	119
926	1499	118
927	1500	116
928	1501	114
929	1502	113
930	1503	111
931	1505	109
932	1506	108
933	1507	106
934	1508	104
935	1509	103
936	1510	101
937	1513	100
938	1514	98
939	1515	96
940	1516	95
941	1517	93
942	1518	91
943	1519	90
944	1519	88
945	1520	86
946	1521	85
947	1522	83
948	1523	81
949	1524	80
950	1525	78
951	1529	77
952	1530	75
953	1531	73
954	1532	72
955	1533	70
956	1534	68
957	1535	67
958	1536	65
959	1537	64
960	1539	62
961	1540	60
962	1541	59
963	1545	57
964	1546	56
965	1548	54
966	1549	52
967	1550	51
968	1551	49
969	1552	48
970	1553	46
971	1555	44
972	1556	43
973	1558	41
974	1559	39
975	1560	38
976	1561	36
977	1565	35
978	1566	33
979	1567	31
980	1568	30
981	1569	28
982	1570	27
983	1571	25
984	1574	23
985	1576	22
986	1578	20
987	1579	19
988	1580	17
989	1581	15
990	1582	14
991	1583	12
992	1584	11
993	1585	9
994	1587	7
995	1589	6
996	1590	4
997	1591	3
998	1593	1
999	1594	0
